dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1H_mean_standarized_zscore-robust_outliers_no,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,svm,,10-features,10,0.8364,0.7826,0.8750,0.8358,0.8358,18:28:4:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,svm,,10-features,7,0.7818,0.7826,0.7812,0.7859,0.7828,18:25:7:5,model__svm__features_all_1H_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,svm,,10-features,5,0.7818,0.7391,0.8125,0.7818,0.7818,17:26:6:6,model__svm__features_all_1H_median_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,svm,,10-features,4,0.8364,0.9130,0.7812,0.8524,0.8375,21:25:7:2,model__svm__features_all_1H_median_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,svm,,10-features,6,0.7273,0.5217,0.8750,0.7314,0.7162,12:28:4:11,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,svm,,10-features,4,0.8545,0.9130,0.8125,0.8655,0.8555,21:26:6:2,model__svm__features_all_1H_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,svm,,10-features,7,0.7818,0.7826,0.7812,0.7859,0.7828,18:25:7:5,model__svm__features_all_1H_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,svm,,20-features,3,0.7455,0.5652,0.8750,0.7485,0.7373,13:28:4:10,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,svm,,20-features,10,0.6364,0.8696,0.4688,0.7109,0.6279,20:15:17:3,model__svm__features_all_1D_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,svm,,20-features,12,0.7091,0.5217,0.8438,0.7086,0.6997,12:27:5:11,model__svm__features_all_1D_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,svm,,20-features,12,0.7091,0.5217,0.8438,0.7086,0.6997,12:27:5:11,model__svm__features_all_1D_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,svm,,20-features,3,0.7455,0.5652,0.8750,0.7485,0.7373,13:28:4:10,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,svm,,20-features,10,0.6364,0.8696,0.4688,0.7109,0.6279,20:15:17:3,model__svm__features_all_1D_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,svm,,20-features,10,0.6727,0.6522,0.6875,0.6776,0.6743,15:22:10:8,model__svm__features_all_1D_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,svm,,20-features,10,0.6727,0.6522,0.6875,0.6776,0.6743,15:22:10:8,model__svm__features_all_1D_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,svm,,20-features,9,0.7636,0.6957,0.8125,0.7625,0.7628,16:26:6:7,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,svm,,20-features,7,0.6727,0.4783,0.8125,0.6687,0.6622,11:26:6:12,model__svm__features_all_1H_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,svm,,20-features,11,0.8182,0.7391,0.8750,0.8177,0.8168,17:28:4:6,model__svm__features_all_1H_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,svm,,20-features,9,0.7091,0.4348,0.9062,0.7234,0.6883,10:29:3:13,model__svm__features_all_1H_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,svm,,20-features,6,0.8000,0.7391,0.8438,0.7992,0.7993,17:27:5:6,model__svm__features_all_1H_median_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,svm,,20-features,6,0.8545,0.8261,0.8750,0.8545,0.8545,19:28:4:4,model__svm__features_all_1H_median_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,svm,,20-features,9,0.7636,0.6957,0.8125,0.7625,0.7628,16:26:6:7,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,svm,,20-features,7,0.6727,0.4783,0.8125,0.6687,0.6622,11:26:6:12,model__svm__features_all_1H_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,svm,,20-features,12,0.8000,0.8261,0.7812,0.8072,0.8012,19:25:7:4,model__svm__features_all_1H_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,svm,,20-features,9,0.7091,0.4348,0.9062,0.7234,0.6883,10:29:3:13,model__svm__features_all_1H_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5818,0.0000,1.0000,0.3385,0.4280,0:32:0:23,model__sgd__features_all_1D_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,sgd,,5-features,3,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,5-features,1,0.5273,0.4348,0.5938,0.5273,0.5273,10:19:13:13,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.5217,0.5312,0.5391,0.5304,12:17:15:11,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,5-features,3,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,5-features,3,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.5455,0.5652,0.5312,0.5605,0.5485,13:17:15:10,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.5455,0.5652,0.5312,0.5605,0.5485,13:17:15:10,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,sgd,,10-features,9,0.5636,0.5652,0.5625,0.5754,0.5665,13:18:14:10,model__sgd__features_all_1D_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.6545,0.5217,0.7500,0.6499,0.6502,12:24:8:11,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5636,0.4783,0.6250,0.5636,0.5636,11:20:12:12,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,sgd,,10-features,9,0.4364,0.4348,0.4375,0.4510,0.4401,10:14:18:13,model__sgd__features_all_1H_mean_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,10-features,9,0.4727,0.4348,0.5000,0.4818,0.4759,10:16:16:13,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,10-features,5,0.4909,0.8261,0.2500,0.5727,0.4523,19:8:24:4,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,10-features,5,0.5273,0.4783,0.5625,0.5331,0.5295,11:18:14:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,10-features,9,0.6545,0.5217,0.7500,0.6499,0.6502,12:24:8:11,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,10-features,9,0.5636,0.4783,0.6250,0.5636,0.5636,11:20:12:12,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,10-features,9,0.4364,0.4348,0.4375,0.4510,0.4401,10:14:18:13,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__10-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,10-features,9,0.4727,0.4348,0.5000,0.4818,0.4759,10:16:16:13,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__10-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.3455,0.5217,0.2188,0.3619,0.3302,12:7:25:11,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.2000,0.1739,0.2188,0.2143,0.2048,4:7:25:19,model__sgd__features_all_1D_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.3455,0.5217,0.2188,0.3619,0.3302,12:7:25:11,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.2000,0.1739,0.2188,0.2143,0.2048,4:7:25:19,model__sgd__features_all_1D_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5455,0.5217,0.5625,0.5541,0.5482,12:18:14:11,model__sgd__features_all_1D_sum_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.5455,0.6087,0.5000,0.5675,0.5476,14:16:16:9,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_mean_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_mean_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,sgd,,20-features,3,0.5273,0.4783,0.5625,0.5331,0.5295,11:18:14:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,sgd,,20-features,20,0.4909,0.4783,0.5000,0.5028,0.4943,11:16:16:12,model__sgd__features_all_1H_median_standarized_zscore_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,sgd,,20-features,19,0.5455,0.6087,0.5000,0.5675,0.5476,14:16:16:9,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,sgd,,20-features,19,0.5636,0.6522,0.5000,0.5902,0.5648,15:16:16:8,model__sgd__features_all_1H_sum_standarized_zscore-robust_outliers_yes__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_no__20-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,sgd,,20-features,19,0.5273,0.6087,0.4688,0.5525,0.5285,14:15:17:9,model__sgd__features_all_1H_sum_standarized_zscore_outliers_yes__20-features__loo.skops
